Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,G+A,PK,CrdY,CrdR,xG,xAG,Team
Amine Harit,ma MAR,MF,27,9,8,472.0,2.0,3.0,5.0,0.0,0.0,1.0,0.7,1.3,Marseille
Lilian Brassier,fr FRA,DF,25,9,7,628.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,Marseille
Elye Wahi,fr FRA,FW,21,9,7,502.0,2.0,1.0,3.0,1.0,1.0,0.0,4.9,0.4,Marseille
Derek Cornelius,ca CAN,DF,26,7,6,515.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,Marseille
Quentin Merlin,fr FRA,"DF,MF",22,5,5,373.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1,0.4,Marseille
Adrien Rabiot,fr FRA,MF,29,6,4,415.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.3,Marseille
Pol Lirola,es ESP,DF,27,7,4,342.0,1.0,1.0,2.0,0.0,0.0,0.0,0.5,0.2,Marseille
Neal Maupay,fr FRA,FW,28,7,4,290.0,2.0,0.0,2.0,0.0,3.0,1.0,1.6,0.2,Marseille
Jon Rowe,eng ENG,"FW,MF",21,10,3,371.0,2.0,2.0,4.0,0.0,2.0,0.0,1.5,2.7,Marseille
Ismaël Koné,ca CAN,"MF,FW",22,7,3,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,Marseille
Ulisses Garcia,ch SUI,DF,28,6,2,245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.3,0.4,Marseille
Valentin Rongier,fr FRA,"DF,MF",29,6,1,176.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,Marseille
Valentin Carboni,ar ARG,"MF,FW",19,4,1,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Marseille
Bamo Meïté,ci CIV,"DF,MF",22,3,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marseille
Enzo Sternal,fr FRA,"FW,MF",17,2,0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Marseille
Faris Pemi Moumbagna,cm CMR,FW,24,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marseille
Keyliane Abdallah,fr FRA,FW,18,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marseille
Darryl Bakola,fr FRA,MF,16,0,0,,,,,,,,,,Marseille
Salim Ben Seghir,fr FRA,FW,21,0,0,,,,,,,,,,Marseille
Jeffrey De Lange,nl NED,GK,26,0,0,,,,,,,,,,Marseille
Emmanuel Koum Mbondo,fr FRA,FW,18,0,0,,,,,,,,,,Marseille
Gael Lafont,fr FRA,FW,18,0,0,,,,,,,,,,Marseille
Roggerio Nyakossi,ch SUI,DF,20,0,0,,,,,,,,,,Marseille
Jelle Van Neck,be BEL,GK,20,0,0,,,,,,,,,,Marseille
Squad Total,,,,11,121,990.0,23.0,14.0,37.0,3.0,25.0,4.0,16.3,10.3,Marseille
Thilo Kehrer,de GER,DF,28,9,9,810.0,2.0,0.0,2.0,0.0,0.0,0.0,0.8,0.1,Monaco
Takumi Minamino,jp JPN,"MF,FW",29,10,9,757.0,1.0,1.0,2.0,0.0,1.0,0.0,1.7,3.4,Monaco
Lamine Camara,sn SEN,MF,20,10,9,753.0,2.0,1.0,3.0,0.0,6.0,1.0,1.0,1.4,Monaco
Wilfried Singo,ci CIV,DF,23,10,8,726.0,0.0,1.0,1.0,0.0,1.0,0.0,0.2,0.1,Monaco
Eliesse Ben Seghir,ma MAR,"FW,MF",19,11,8,692.0,4.0,2.0,6.0,1.0,0.0,0.0,2.4,2.4,Monaco
Maghnes Akliouche,fr FRA,"FW,MF",22,10,7,662.0,0.0,3.0,3.0,0.0,0.0,0.0,1.1,1.9,Monaco
Denis Zakaria,ch SUI,MF,28,8,7,655.0,2.0,1.0,3.0,0.0,2.0,0.0,1.4,0.2,Monaco
Philipp Köhn,ch SUI,GK,26,7,7,630.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Monaco
Vanderson,br BRA,DF,23,8,7,586.0,1.0,1.0,2.0,0.0,4.0,1.0,0.5,1.0,Monaco
Breel Embolo,ch SUI,FW,27,9,7,585.0,1.0,2.0,3.0,0.0,1.0,0.0,4.8,1.9,Monaco
Caio Henrique Oliveira Silva,br BRA,DF,27,8,7,581.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1,1.6,Monaco
Aleksandr Golovin,ru RUS,MF,28,8,6,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,Monaco
Folarin Balogun,us USA,FW,23,6,5,402.0,3.0,0.0,3.0,0.0,0.0,0.0,3.7,0.6,Monaco
Mohammed Salisu,gh GHA,DF,25,5,4,368.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,Monaco
Radosław Majecki,pl POL,GK,25,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco
Soungoutou Magassa,fr FRA,MF,21,8,4,305.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Monaco
George Ilenikhena,fr FRA,"FW,MF",18,11,3,394.0,1.0,1.0,2.0,0.0,0.0,0.0,1.2,1.0,Monaco
Jordan Teze,nl NED,DF,25,7,3,227.0,1.0,0.0,1.0,0.0,1.0,1.0,1.2,0.2,Monaco
Christian Mawissa,fr FRA,DF,19,4,2,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco
Ismail Jakobs,sn SEN,DF,25,2,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Monaco
Kassoum Ouattara,fr FRA,"DF,FW",20,6,2,175.0,0.0,1.0,1.0,0.0,1.0,0.0,0.2,0.4,Monaco
Krépin Diatta,sn SEN,DF,25,6,1,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Monaco
Saïmon Bouabré,fr FRA,MF,18,1,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco
Eliot Matazo,be BEL,MF,22,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco
Edan Diop,fr FRA,MF,20,0,0,,,,,,,,,,Monaco
Yann Liénard,fr FRA,GK,21,0,0,,,,,,,,,,Monaco
Guillermo Maripán,cl CHI,DF,30,0,0,,,,,,,,,,Monaco
Lucas Michal,fr FRA,FW,19,0,0,,,,,,,,,,Monaco
Samuel Nibombé,be BEL,DF,17,0,0,,,,,,,,,,Monaco
Squad Total,,,,11,121,990.0,18.0,15.0,33.0,1.0,23.0,3.0,21.2,17.3,Monaco
Modibo Sagnan,ml MLI,DF,25,10,10,876.0,1.0,0.0,1.0,0.0,4.0,0.0,0.5,0.1,Montpellier
Falaye Sacko,ml MLI,DF,29,10,10,850.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.1,Montpellier
Akor Adams,ng NGA,FW,24,11,10,828.0,3.0,1.0,4.0,0.0,2.0,0.0,4.0,0.7,Montpellier
Arnaud Nordin,fr FRA,FW,26,10,10,809.0,3.0,0.0,3.0,1.0,2.0,0.0,2.8,0.8,Montpellier
Téji Savanier,fr FRA,MF,32,9,9,759.0,1.0,2.0,3.0,1.0,1.0,1.0,1.3,2.5,Montpellier
Benjamin Lecomte,fr FRA,GK,33,8,8,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier
Rabby Nzingoula,cg CGO,MF,18,8,7,601.0,1.0,0.0,1.0,0.0,4.0,0.0,0.6,0.5,Montpellier
Jordan Ferri,fr FRA,MF,32,8,6,587.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.3,Montpellier
Becir Omeragic,ch SUI,DF,22,6,6,483.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Montpellier
Enzo Tchato,cm CMR,"DF,MF",21,11,5,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Montpellier
Wahbi Khazri,tn TUN,"FW,MF",33,10,5,428.0,1.0,1.0,2.0,0.0,2.0,0.0,0.9,0.6,Montpellier
Joris Chotard,fr FRA,MF,23,5,5,347.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Montpellier
Issiaga Sylla,gn GUI,"DF,MF",30,7,5,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,Montpellier
Tanguy Coulibaly,fr FRA,FW,23,8,4,403.0,1.0,0.0,1.0,0.0,2.0,1.0,0.5,0.4,Montpellier
Musa Al-Taamari,jo JOR,"FW,MF",27,6,3,309.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.1,Montpellier
Dimitry Bertaud,cd COD,GK,26,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier
Khalil Fayad,fr FRA,"MF,FW",20,4,3,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Montpellier
Lucas Mincarelli,fr FRA,DF,20,4,3,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Montpellier
Birama Touré,ml MLI,"MF,DF",32,7,2,298.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,Montpellier
Nikola Maksimović,rs SRB,DF,32,2,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier
Stefan Džodić,rs SRB,DF,19,3,2,172.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Montpellier
Boubakar Kouyaté,ml MLI,DF,27,2,1,111.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Montpellier
Yael Mouanga,fr FRA,DF,19,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier
Yanis Issoufou,fr FRA,"FW,MF",18,3,1,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier
Othmane Maamma,ma MAR,"FW,MF",19,3,0,59.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,Montpellier
Gabriel Bares,ch SUI,MF,24,3,0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier
Axel Gueguin,fr FRA,FW,19,1,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier
Junior Ndiaye,fr FRA,"DF,FW",19,2,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Montpellier
Théo Chennahi,fr FRA,"MF,DF",19,2,0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Montpellier
Simon Cara,fr FRA,FW,19,0,0,,,,,,,,,,Montpellier
Craig Mamilo,fr FRA,DF,18,0,0,,,,,,,,,,Montpellier
Glenn Ngosso,cm CMR,FW,20,0,0,,,,,,,,,,Montpellier
Squad Total,,,,11,121,990.0,11.0,6.0,17.0,2.0,32.0,3.0,11.6,6.9,Montpellier
Alban Lafont,fr FRA,GK,25,11,11,990.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Nantes
Pedro Chirivella,es ESP,MF,27,11,10,884.0,0.0,1.0,1.0,0.0,1.0,0.0,0.2,0.4,Nantes
